,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
1836,7.0,5.0,0.0,3.0,0.0,4.0,8.0,2.0,21.0,1.0,5.0,1.0,2.0,3.0,4.0,7.0,7.0,0.0,0.0,2.0,7.0,5.0,5.0,5.0,6.0,0.0,3.0,12.0,2.0,0.0,7.0,2.0,7.0
1837,2.0,5.0,0.0,3.0,6.0,8.0,3.0,2.0,25.0,1.0,5.0,6.0,10.0,7.0,3.0,6.0,6.0,0.0,4.0,0.0,4.0,5.0,8.0,4.0,10.0,2.0,3.0,17.0,3.0,0.0,8.0,1.0,4.0
1838,3.0,3.0,0.0,3.0,2.0,9.0,3.0,2.0,23.0,2.0,3.0,1.0,3.0,5.0,3.0,9.0,12.0,0.0,3.0,1.0,5.0,11.0,4.0,1.0,8.0,5.0,4.0,12.0,5.0,1.0,11.0,1.0,3.0
1839,6.0,3.0,0.0,3.0,6.0,10.0,4.0,1.0,27.0,3.0,6.0,0.0,6.0,4.0,8.0,6.0,13.0,0.0,3.0,3.0,2.0,10.0,5.0,2.0,5.0,0.0,5.0,9.0,3.0,0.0,6.0,1.0,4.0
1840,6.0,7.0,1.0,1.0,7.0,18.0,4.0,0.0,35.0,2.0,5.0,2.0,8.0,6.0,5.0,6.0,13.0,3.0,4.0,0.0,1.0,10.0,10.0,1.0,7.0,2.0,3.0,10.0,2.0,0.0,10.0,1.0,7.0
1841,6.0,7.0,1.0,6.0,5.0,18.0,4.0,1.0,22.0,3.0,8.0,1.0,10.0,15.0,11.0,14.0,10.0,1.0,4.0,0.0,13.0,7.0,11.0,3.0,13.0,5.0,6.0,21.0,7.0,2.0,12.0,1.0,12.0
1842,15.0,12.0,2.0,2.0,12.0,27.0,9.0,2.0,35.0,2.0,14.0,7.0,14.0,14.0,8.0,11.0,15.0,2.0,5.0,1.0,16.0,10.0,15.0,12.0,22.0,1.0,3.0,20.0,6.0,1.0,15.0,0.0,12.0
1843,8.0,13.0,1.0,4.0,9.0,17.0,3.0,4.0,38.0,6.0,5.0,11.0,6.0,14.0,8.0,11.0,12.0,0.0,6.0,0.0,13.0,5.0,7.0,4.0,12.0,0.0,6.0,18.0,4.0,3.0,9.0,4.0,9.0
1844,6.0,9.0,1.0,1.0,7.0,11.0,4.0,4.0,31.0,1.0,8.0,7.0,7.0,17.0,13.0,12.0,13.0,1.0,7.0,0.0,12.0,15.0,9.0,1.0,13.0,2.0,11.0,9.0,7.0,1.0,13.0,2.0,11.0
1845,8.0,5.0,0.0,6.0,10.0,12.0,4.0,4.0,18.0,0.0,5.0,3.0,11.0,13.0,5.0,7.0,13.0,1.0,5.0,2.0,10.0,11.0,11.0,5.0,15.0,4.0,7.0,22.0,7.0,3.0,9.0,1.0,15.0
